FID;field_1;field_2;x;y
122;301340,847635345009621;4597791,384862000122666;301341,0000000;4597790,0000000
123;301990,818701150012203;4599138,804858409799635;301991,0000000;4599140,0000000
124;302308,196938910987228;4600080,882199889980257;302308,0000000;4600080,0000000
125;304912,496718144975603;4614047,083865939639509;304912,0000000;4614050,0000000
126;305002,778058386000339;4614312,379814540036023;305003,0000000;4614310,0000000
127;304887,177304284996353;4613956,680946850217879;304887,0000000;4613960,0000000
128;304923,581789079005830;4614088,166786639951169;304924,0000000;4614090,0000000
129;306697,411587395006791;4616698,067963830195367;306697,0000000;4616700,0000000
130;307979,809452146000694;4617124,366978949867189;307980,0000000;4617120,0000000
131;308352,501197561970912;4617284,498319000005722;308352,0000000;4617280,0000000
132;309020,972244919976220;4617892,588976980186999;309021,0000000;4617890,0000000
133;308984,854904608975630;4617853,323711610399187;308985,0000000;4617850,0000000
134;309048,828399972000625;4617924,961715569719672;309049,0000000;4617920,0000000
135;309154,528035302995704;4618089,103351750411093;309155,0000000;4618090,0000000
136;309299,043498142971657;4618893,999499260447919;309299,0000000;4618890,0000000
137;310251,306967157986946;4620300,207654709927738;310251,0000000;4620300,0000000
138;314074,073020707990509;4624243,737053059972823;314074,0000000;4624240,0000000
139;314162,730407426017337;4624423,318803500384092;314163,0000000;4624420,0000000
140;302625,594551039976068;4606678,497519819997251;302626,0000000;4606680,0000000
141;305464,130962933995761;4608191,781437019817531;305464,0000000;4608190,0000000
142;306866,175922591006383;4612976,311867140233517;306866,0000000;4612980,0000000
143;309838,511746497009881;4616373,597811190411448;309838,0000000;4616370,0000000
144;316778,834845278994180;4623613,129562989808619;316779,0000000;4623610,0000000
145;318779,610679386998527;4626939,569226910360157;318780,0000000;4626940,0000000
146;297778,950942043971736;4600774,781445699743927;297779,0000000;4600780,0000000
147;281896,763709123013541;4595021,472925529815257;281897,0000000;4595020,0000000
148;302232,700281503028236;4591864,485812559723854;302233,0000000;4591860,0000000
149;301614,152361462009139;4593017,807715469971299;301614,0000000;4593020,0000000
150;307877,149797262973152;4603168,943155200220644;307877,0000000;4603170,0000000
151;310877,022865458973683;4601742,194621999748051;310877,0000000;4601740,0000000
152;292046,090681937988847;4607386,356059250421822;292046,0000000;4607390,0000000
153;291988,355826171988156;4607461,611104230396450;291988,0000000;4607460,0000000
154;287962,265020347025711;4623903,143481439910829;287962,0000000;4623900,0000000
155;312059,045279163983651;4610928,295797679573298;312059,0000000;4610930,0000000
156;307654,982801088015549;4610472,048251139931381;307655,0000000;4610470,0000000
157;301960,982371877005789;4606578,730589849874377;301961,0000000;4606580,0000000
158;302059,817909764009528;4607066,244167010299861;302060,0000000;4607070,0000000
159;291270,736251689027995;4603134,015339329838753;291271,0000000;4603130,0000000
160;290024,908224806014914;4600408,484402789734304;290025,0000000;4600410,0000000
161;289283,394596673024353;4598293,170125599950552;289283,0000000;4598290,0000000
162;287286,881083166983444;4596052,004896969534457;287287,0000000;4596050,0000000
163;287154,194514748989604;4595946,227541839703918;287154,0000000;4595950,0000000
164;292336,376337175024673;4602609,025481450371444;292336,0000000;4602610,0000000
165;303065,465923569980077;4613668,393665350042284;303065,0000000;4613670,0000000
166;302965,815054632024840;4614125,771696110256016;302966,0000000;4614130,0000000
167;303620,619779533008114;4620935,256761689670384;303621,0000000;4620940,0000000
168;299897,609104820003267;4621262,101434580050409;299898,0000000;4621260,0000000
169;315686,032602360006422;4603669,518757999874651;315686,0000000;4603670,0000000
170;314529,432401626021601;4604411,291506939567626;314529,0000000;4604410,0000000
171;313537,598497321014293;4604982,720522199757397;313538,0000000;4604980,0000000
172;310162,546927658026107;4606668,401972419582307;310163,0000000;4606670,0000000
173;309989,326617131999228;4606766,089285669848323;309989,0000000;4606770,0000000
174;284880,729300524981227;4625632,144978480413556;284881,0000000;4625630,0000000
175;294883,266967041010503;4605039,331776260398328;294883,0000000;4605040,0000000
176;315453,576376540004276;4611106,632461249828339;315454,0000000;4611110,0000000
177;285228,722791615989991;4598463,853788710199296;285229,0000000;4598460,0000000
178;317171,472584809991531;4598099,803531689569354;317171,0000000;4598100,0000000
179;312887,825864650018048;4597507,309692420065403;312888,0000000;4597510,0000000
180;292463,926991163985804;4606040,720317009836435;292464,0000000;4606040,0000000
